"_id","updated_at","environment","time","layername","mission","product"
"ObjectID(""6940235a520d96b5a7873d62"")",2025-12-15 16:03:25.386,OPE,2025-12-14 16:48:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d63"")",2025-12-15 16:03:25.386,OPE,2025-12-14 18:29:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d64"")",2025-12-15 16:03:25.386,OPE,2025-12-14 20:10:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d65"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:51:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d66"")",2025-12-15 16:03:25.386,OPE,2025-12-14 23:32:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d67"")",2025-12-15 16:03:25.386,OPE,2025-12-15 01:13:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d68"")",2025-12-15 16:03:25.386,OPE,2025-12-15 02:54:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d69"")",2025-12-15 16:03:25.386,OPE,2025-12-15 04:35:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d6a"")",2025-12-15 16:03:25.386,OPE,2025-12-15 06:16:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d6b"")",2025-12-15 16:03:25.386,OPE,2025-12-15 07:57:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d6c"")",2025-12-15 16:03:25.386,OPE,2025-12-15 09:38:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d6d"")",2025-12-15 16:03:25.386,OPE,2025-12-15 11:19:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873d6e"")",2025-12-15 16:03:25.386,OPE,2025-12-15 13:00:00,copernicus:sentinel3a_olci_l2_chl_fullres,copernicus,sentinel3a_olci_l2_chl_fullres
"ObjectID(""6940235a520d96b5a7873dc6"")",2025-12-15 16:03:25.386,OPE,2025-12-14 16:13:00,copernicus:sentinel3a_orbital_tracks,copernicus,sentinel3a_orbital_tracks
"ObjectID(""6940235a520d96b5a7873dc7"")",2025-12-15 16:03:25.386,OPE,2025-12-14 17:54:00,copernicus:sentinel3a_orbital_tracks,copernicus,sentinel3a_orbital_tracks
"ObjectID(""6940235a520d96b5a7873dc8"")",2025-12-15 16:03:25.386,OPE,2025-12-14 19:35:00,copernicus:sentinel3a_orbital_tracks,copernicus,sentinel3a_orbital_tracks
"ObjectID(""6940235a520d96b5a7873dc9"")",2025-12-15 16:03:25.386,OPE,2025-12-14 21:16:00,copernicus:sentinel3a_orbital_tracks,copernicus,sentinel3a_orbital_tracks
"ObjectID(""6940235a520d96b5a7873dca"")",2025-12-15 16:03:25.386,OPE,2025-12-14 22:57:00,copernicus:sentinel3a_orbital_tracks,copernicus,sentinel3a_orbital_tracks
